"postID","userID","createdAt","title","content","total_comments","total_likes","total_dislikes"
1,1,"2025-06-03 15:34:29","Healthy Eating Habits That Actually Work","Forget fad diets. These evidence-based eating habits are sustainable and can help you improve your overall health and energy levels without drastic changes.",0,0,0
2,1,"2025-06-03 15:39:15","10-Minute Morning Workouts to Boost Your Mood","Start your day right with these quick and energizing routines that don’t require any equipment.",0,0,0
3,1,"2025-06-03 15:39:25","Budget-Friendly Travel Tips for Students","Explore the world without breaking the bank using these smart travel hacks and planning techniques.",0,0,0
4,1,"2025-06-03 15:39:39","How to Build a Productive Study Routine","Learn the secrets to staying focused, managing your time, and getting the most out of your study sessions.",0,0,0
5,1,"2025-06-03 15:39:48","Beginner’s Guide to Meditation and Mindfulness","Discover simple meditation techniques to reduce stress and improve your mental clarity and emotional well-being.",0,0,0
6,1,"2025-06-03 15:39:55","The Science of Sleep: How to Improve Your Sleep Quality","Understand what affects your sleep and how to develop healthy habits for better rest and recovery.",0,0,0
7,1,"2025-06-03 15:40:03","Why We Should Talk More About Mental Health","Breaking the stigma around mental health through open discussions and community support.",0,0,0
8,1,"2025-06-03 15:40:13","Top 5 Tech Innovations Changing the World","A quick look at cutting-edge technologies and their potential impact on everyday life.",0,0,0
9,1,"2025-06-03 15:40:23","Ask Me Anything: Freelancing in the Digital Age","I’ve been freelancing for 5 years—drop your questions about getting clients, pricing, and managing time.",0,0,0
10,1,"2025-06-03 15:40:32","Upcoming Community Clean-Up Event!","Join us this weekend to help clean up the neighborhood park. All supplies will be provided.",0,0,0
11,1,"2025-06-03 15:40:39","What’s One Habit That Changed Your Life?","Let’s share habits that made a huge difference—big or small. I’ll start: daily journaling!",0,0,0
12,1,"2025-06-04 09:45:55","The Future of Remote Work: What Comes Next?","Remote work is here to stay, but how will it evolve? Let’s explore possible outcomes and challenges.",0,0,0
13,2,"2025-06-04 10:08:07","Lorem ipsum dolor sit amet consectetur adipiscing elit.","Lorem ipsum dolor sit amet consectetur adipiscing elit. Quisque faucibus ex sapien vitae pellentesque sem placerat. In id cursus mi pretium tellus duis convallis. Tempus leo eu aenean sed diam urna tempor. Pulvinar vivamus fringilla lacus nec metus bibendum egestas. Iaculis massa nisl malesuada lacinia integer nunc posuere. Ut hendrerit semper vel class aptent taciti sociosqu. Ad litora torquent per conubia nostra inceptos himenaeos.",0,0,0
14,2,"2025-06-04 10:09:12","Lorem ipsum dolor sit amet consectetur adipiscing elit. ","Lorem ipsum dolor sit amet consectetur adipiscing elit. Quisque faucibus ex sapien vitae pellentesque sem placerat. In id cursus mi pretium tellus duis convallis. Tempus leo eu aenean sed diam urna tempor. Pulvinar vivamus fringilla lacus nec metus bibendum egestas. Iaculis massa nisl malesuada lacinia integer nunc posuere. Ut hendrerit semper vel class aptent taciti sociosqu. Ad litora torquent per conubia nostra inceptos himenaeos.

Lorem ipsum dolor sit amet consectetur adipiscing elit. Quisque faucibus ex sapien vitae pellentesque sem placerat. In id cursus mi pretium tellus duis convallis. Tempus leo eu aenean sed diam urna tempor. Pulvinar vivamus fringilla lacus nec metus bibendum egestas. Iaculis massa nisl malesuada lacinia integer nunc posuere. Ut hendrerit semper vel class aptent taciti sociosqu. Ad litora torquent per conubia nostra inceptos himenaeos.",0,0,0
15,3,"2025-06-05 11:59:54","Healthy Eating Habits That Actually Work","Forget fad diets. These evidence-based eating habits are sustainable and can help you improve your overall health and energy levels without drastic changes.",0,0,0
